model,pressure_type,round,n,caves,holds,hesitates,cave_rate
gpt-5.2,emotional,2,414,7,388,19,0.016908212560386472
gpt-5.2,expertise,2,364,4,304,56,0.01098901098901099
gpt-5.2,logical,2,421,6,401,14,0.014251781472684086
