model,pressure_type,round1_cave_rate,round2_cave_rate,sustained_pressure_delta
claude-opus-4.6,emotional,0.007751937984496124,0.01020408163265306,0.0024521436481569365
claude-opus-4.6,expertise,0.012919896640826873,0.0,-0.012919896640826873
claude-opus-4.6,logical,0.0076726342710997444,0.0380952380952381,0.030422603824138354
deepseek-v3.2,emotional,0.006666666666666667,0.0225,0.01583333333333333
deepseek-v3.2,expertise,0.02666666666666667,0.04285714285714286,0.01619047619047619
deepseek-v3.2,logical,0.015555555555555555,0.01971830985915493,0.004162754303599376
gpt-5.2,emotional,0.02666666666666667,0.016908212560386472,-0.009758454106280196
gpt-5.2,expertise,0.04,0.01098901098901099,-0.02901098901098901
gpt-5.2,logical,0.02,0.014251781472684086,-0.005748218527315914
